elapsed: 1324.28s, epoch: 1, test loss: 2.308287, lr: 1.1142642506456468e-05
elapsed: 2700.75s, epoch: 2, test loss: 2.085535, lr: 1.1032414477085695e-05
elapsed: 4016.23s, epoch: 3, test loss: 1.983886, lr: 1.0982138519466389e-05
elapsed: 6085.13s, epoch: 4, test loss: 1.897711, lr: 1.093941682484001e-05
elapsed: 7378.71s, epoch: 5, test loss: 1.851934, lr: 1.0916757673840038e-05
elapsed: 8708.59s, epoch: 6, test loss: 1.767364, lr: 1.0874743566091638e-05
elapsed: 10013.91s, epoch: 7, test loss: 1.722705, lr: 1.0852792001969647e-05
elapsed: 11485.02s, epoch: 8, test loss: 1.671283, lr: 1.0827300684468355e-05
elapsed: 12826.28s, epoch: 9, test loss: 1.653194, lr: 1.081833124771947e-05
elapsed: 14204.55s, epoch: 10, test loss: 1.618016, lr: 1.0800864401971921e-05
elapsed: 15580.89s, epoch: 11, test loss: 1.636449, lr: 1.0810069397848565e-05
elapsed: 16972.79s, epoch: 12, test loss: 1.600854, lr: 1.0792366992973257e-05
elapsed: 18345.90s, epoch: 13, test loss: 1.582908, lr: 1.0783634024846833e-05
elapsed: 19761.06s, epoch: 14, test loss: 1.571117, lr: 1.077773322322173e-05
elapsed: 21145.78s, epoch: 15, test loss: 1.544167, lr: 1.0764279068098404e-05
elapsed: 22506.00s, epoch: 16, test loss: 1.532392, lr: 1.0758614735095762e-05
elapsed: 23954.40s, epoch: 17, test loss: 1.505245, lr: 1.0745160579972435e-05
elapsed: 25362.67s, epoch: 18, test loss: 1.525801, lr: 1.0755309631349519e-05
elapsed: 26865.31s, epoch: 19, test loss: 1.518957, lr: 1.0751768968475517e-05
elapsed: 28337.38s, epoch: 20, test loss: 1.522242, lr: 1.0753421520348638e-05
elapsed: 29816.19s, epoch: 21, test loss: 1.547866, lr: 1.0766167179099284e-05
elapsed: 31258.34s, epoch: 22, test loss: 1.504160, lr: 1.0744452083599754e-05
elapsed: 32700.32s, epoch: 23, test loss: 1.499433, lr: 1.0742327503976412e-05
elapsed: 34235.12s, epoch: 24, test loss: 1.493843, lr: 1.0739495337475091e-05
elapsed: 35753.70s, epoch: 25, test loss: 1.441401, lr: 1.071353199222358e-05
elapsed: 37232.69s, epoch: 26, test loss: 1.466219, lr: 1.0725805623224005e-05
elapsed: 38741.22s, epoch: 27, test loss: 1.510152, lr: 1.0747520718723536e-05
elapsed: 40294.44s, epoch: 28, test loss: 1.465257, lr: 1.0725333595473785e-05
elapsed: 41865.43s, epoch: 29, test loss: 1.442987, lr: 1.0714239579101559e-05
elapsed: 43377.83s, epoch: 30, test loss: 1.468890, lr: 1.0726985237852205e-05
elapsed: 45053.62s, epoch: 31, test loss: 1.523011, lr: 1.0753893548098858e-05
elapsed: 46624.07s, epoch: 32, test loss: 1.466805, lr: 1.0726041182351764e-05
elapsed: 48155.74s, epoch: 33, test loss: 1.428381, lr: 1.0707159162848257e-05
elapsed: 49711.33s, epoch: 34, test loss: 1.450337, lr: 1.0718016710598022e-05
elapsed: 51232.17s, epoch: 35, test loss: 1.431304, lr: 1.0708575246098917e-05
elapsed: 52813.49s, epoch: 36, test loss: 1.412641, lr: 1.0699369340727571e-05
elapsed: 54441.38s, epoch: 37, test loss: 1.388898, lr: 1.0687567737477366e-05
elapsed: 56014.60s, epoch: 38, test loss: 1.368714, lr: 1.0677418686100282e-05
elapsed: 57749.72s, epoch: 39, test loss: 1.374194, lr: 1.0680250852601603e-05
elapsed: 59378.95s, epoch: 40, test loss: 1.346726, lr: 1.0666561138350517e-05
elapsed: 61007.54s, epoch: 41, test loss: 1.377002, lr: 1.0681666935852263e-05
elapsed: 62628.25s, epoch: 42, test loss: 1.338955, lr: 1.0662784006854054e-05
elapsed: 64276.22s, epoch: 43, test loss: 1.382534, lr: 1.0684263543225825e-05
elapsed: 65919.44s, epoch: 44, test loss: 1.332094, lr: 1.0659479812602513e-05
elapsed: 67587.51s, epoch: 45, test loss: 1.325110, lr: 1.065593914972851e-05
elapsed: 69286.48s, epoch: 46, test loss: 1.330655, lr: 1.0658771316229831e-05
elapsed: 71033.65s, epoch: 47, test loss: 1.296712, lr: 1.0641777407727204e-05
elapsed: 72736.99s, epoch: 48, test loss: 1.304515, lr: 1.0645790098351426e-05
elapsed: 76074.94s, epoch: 49, test loss: 1.321111, lr: 1.065405103872763e-05
elapsed: 77692.40s, epoch: 50, test loss: 1.323293, lr: 1.065499509422807e-05
elapsed: 79508.43s, epoch: 51, test loss: 1.290123, lr: 1.0638708772603422e-05
elapsed: 81192.62s, epoch: 52, test loss: 1.307177, lr: 1.0646969712979626e-05
elapsed: 82825.07s, epoch: 53, test loss: 1.286188, lr: 1.063658419298008e-05
elapsed: 84490.11s, epoch: 54, test loss: 1.279526, lr: 1.063327999872854e-05
elapsed: 86081.35s, epoch: 55, test loss: 1.303752, lr: 1.0645318070601206e-05
elapsed: 87800.67s, epoch: 56, test loss: 1.280078, lr: 1.063375202647876e-05
elapsed: 89611.79s, epoch: 57, test loss: 1.245456, lr: 1.0616521649353672e-05
