epoch: 1, test loss: 5.532526, lr: 1.2738706573145464e-05
epoch: 1, test loss: 4.315228, lr: 1.2136110854044091e-05
epoch: 2, test loss: 4.073992, lr: 1.2016677828796674e-05
epoch: 3, test loss: 3.835588, lr: 1.1898659977305215e-05
epoch: 4, test loss: 3.735444, lr: 1.1849093425553292e-05
elapsed: 3232.01s, epoch: 1, test loss: 3.990388, lr: 1.1975135748798493e-05
elapsed: 6414.66s, epoch: 2, test loss: 3.684586, lr: 1.182383766717976e-05
elapsed: 9733.44s, epoch: 3, test loss: 3.698642, lr: 1.1830918083433062e-05
elapsed: 12955.88s, epoch: 4, test loss: 3.644123, lr: 1.1803774214058649e-05
elapsed: 1615.88s, epoch: 1, test loss: 4.123594, lr: 1.2041225090797525e-05
elapsed: 3236.67s, epoch: 2, test loss: 3.606164, lr: 1.17851277536829e-05
elapsed: 4947.15s, epoch: 3, test loss: 3.694434, lr: 1.1828794413304422e-05
elapsed: 6615.19s, epoch: 4, test loss: 3.502076, lr: 1.1733436622307636e-05
elapsed: 8361.95s, epoch: 5, test loss: 3.421660, lr: 1.1693782653310336e-05
elapsed: 1620.35s, epoch: 1, test loss: 3.989857, lr: 1.1974899280176032e-05
elapsed: 3277.77s, epoch: 2, test loss: 3.511033, lr: 1.1737920431187376e-05
elapsed: 5033.38s, epoch: 3, test loss: 3.408386, lr: 1.1687173355312552e-05
elapsed: 6776.97s, epoch: 4, test loss: 3.461140, lr: 1.1713373169186525e-05
elapsed: 8536.59s, epoch: 5, test loss: 3.346756, lr: 1.1656725291686598e-05
elapsed: 1977.75s, epoch: 1, test loss: 3.798449, lr: 1.1880249985551927e-05
elapsed: 4544.83s, epoch: 2, test loss: 3.559758, lr: 1.176199657493271e-05
elapsed: 6666.77s, epoch: 3, test loss: 3.383503, lr: 1.1674899724312127e-05
elapsed: 8735.64s, epoch: 4, test loss: 3.402323, lr: 1.168410472018877e-05
elapsed: 10923.10s, epoch: 5, test loss: 3.184054, lr: 1.1576001270441338e-05
elapsed: 13806.55s, epoch: 6, test loss: 3.204377, lr: 1.1586151231313124e-05
elapsed: 15921.96s, epoch: 7, test loss: 2.942070, lr: 1.145633177657146e-05
elapsed: 17994.72s, epoch: 8, test loss: 2.938523, lr: 1.145468013419304e-05
elapsed: 20103.50s, epoch: 9, test loss: 2.800101, lr: 1.1385993275325745e-05
elapsed: 22286.51s, epoch: 10, test loss: 2.753964, lr: 1.1363098565198015e-05
elapsed: 24518.27s, epoch: 11, test loss: 2.664717, lr: 1.1318959877826273e-05
elapsed: 26691.90s, epoch: 12, test loss: 2.597994, lr: 1.1285915206826758e-05
elapsed: 28885.58s, epoch: 13, test loss: 2.549722, lr: 1.1262075531703886e-05
elapsed: 31006.40s, epoch: 14, test loss: 2.511440, lr: 1.1243192602705676e-05
elapsed: 33189.74s, epoch: 15, test loss: 2.482879, lr: 1.122903086070437e-05
elapsed: 35360.12s, epoch: 16, test loss: 2.447198, lr: 1.1211328455829062e-05
elapsed: 37603.14s, epoch: 17, test loss: 2.382029, lr: 1.1178991371707525e-05
